archivo,sección,tema,pregunta,subpregunta,juicio,evidencia procedente de la investigación,consideraciones adicionales
ansiedad.txt,5.1,"En adultos con TAG, ¿cuál es la efectividad y seguridad comparada de la terapia cognitivo conductual (TCC)?",a) ¿Cuál es la magnitud de los efectos deseables esperados?,,Moderada.,"Se consideraron un total de 20 ECA (n= 1055) (17,87–105) que comparan la aplicación de TCC con no intervención, lista de espera o control activo (p. ej., un programa computarizado sobre buenos hábitos de salud mental pero no específico de TAG). Los resultados muestran que el tratamiento con TCC-i frente a cualquier control en adultos con TAG: − Reduce los niveles de ansiedad (efecto moderado), sin embargo, no supera el umbral de decisión clínica. − Aumenta la probabilidad de respuesta (153 pacientes más por cada 1.000). − Aumenta la probabilidad de remisión (283 pacientes más por cada 1.000). − Reduce los niveles de depresión (efecto moderado), sin embargo, no supera el umbral de decisión clínica. − Reduce los niveles de preocupación (efecto moderado). − Aumenta los niveles de CVRS, sin embargo, no supera el umbral de decisión clínica. − No modifica el riesgo de eventos adversos. Los resultados muestran que el tratamiento con TCC-g frente a cualquier control en adultos con TAG: − Reduce los niveles de ansiedad evaluada por el clínico, sin embargo, no supera el umbral de decisión clínica. − Reduce la ansiedad autoinformada (efecto grande). − Aumenta la probabilidad de respuesta (148 pacientes más por cada 1.000). − Aumenta la probabilidad de remisión (256 pacientes más por cada 1.000). − Reduce los niveles de depresión (efecto grande). GPC PARA EL TRATAMIENTO DEL TRASTORNO DE ANSIEDAD GENERALIZADA EN ATENCIÓN PRIMARIA 47 − Aumenta los niveles de CVRS (efecto pequeño), sin embargo, no supera el umbral de decisión clínica. Los resultados muestran que el tratamiento con TCC-c frente a cualquier control en adultos con TAG: − Reduce la ansiedad autoinformada (efecto grande). − Aumenta la probabilidad de respuesta (332 pacientes más por cada 1.000). − Aumenta la probabilidad de remisión (348 pacientes más por cada 1.000). − Reduce los niveles de depresión (efecto grande). − Aumenta los niveles de CVRS (efecto moderado), sin embargo, no supera el umbral de decisión clínica. Los resultados muestran que el tratamiento con TCC-t frente a cualquier control en adultos con TAG: − No modifica los niveles de ansiedad evaluada por el clínico. − Reduce la ansiedad autoinformada (efecto moderado), sin embargo, no supera el umbral de decisión clínica. − No modifica la probabilidad de remisión (235 pacientes más por cada 1.000). − Reduce los niveles de depresión (efecto pequeño), sin embargo, no supera el umbral de decisión clínica. − Aumenta los niveles de CVRS (efecto moderado), sin embargo, no supera el umbral de decisión clínica. Para más información se pueden consultar los perfiles de evidencia GRADE disponibles en el material metodológico.","Existe evidencia indirecta derivada de un ECA realizado en 22 centros de AP en España que evaluó en pacientes adultos con trastornos emocionales la eficacia de una TCC (siete sesiones de 90 minutos de duración) grupal (8–10 pacientes) transdiagnóstica más el tratamiento habitual durante un período de 12–14 semanas frente al tratamiento habitual. Se obtuvo un efecto grande  sobre las tasas de remisión y mejoras de los síntomas de ansiedad, depresión y somáticos, así como del funcionamiento y calidad de vida, que se mantuvieron a los 12 meses de seguimiento (106,107)."
ansiedad.txt,5.1,"En adultos con TAG, ¿cuál es la efectividad y seguridad comparada de la terapia cognitivo conductual (TCC)?",c) ¿Cuál es la certeza global en la evidencia sobre los efectos?,,Moderada.,"La calidad global de la evidencia fue considerada entre muy baja y alta, en función de la modalidad de TCC, como consecuencia de las limitaciones metodológicas inherentes al diseño de los estudios. Existen limitaciones relacionadas con el riesgo de sesgo de realización debido a la imposibilidad de llevar a cabo el cegamiento de los pacientes y del personal. Existen limitaciones relacionadas con la inconsistencia debido a la presencia de heterogeneidad no explicada. La calidad de la evidencia por desenlace para cada modalidad de TCC se muestra en la siguiente tabla: TCC-i TCC-g TCC-c TCC-t Ansiedad (evaluación Baja - - - clínica) Ansiedad (autoinformada) Baja Moderada Alta Baja Respuesta al tratamiento Baja - Moderada - Remisión Alta Moderada Moderada Moderada Preocupación Muy baja - Moderada Baja Depresión Muy baja Moderada Alta Baja Calidad de vida Baja Baja Baja Baja : no evidencia disponible",
ansiedad.txt,5.1,"En adultos con TAG, ¿cuál es la efectividad y seguridad comparada de la terapia cognitivo conductual (TCC)?",d) ¿Existe incertidumbre o variabilidad importante sobre cómo,,La incertidumbre o variabilidad no son importantes.,No se han podido identificar estudios que informen del valor que las personas con TAG otorgan a los diferentes desenlaces.,El GAG considera poco probable que exista variabilidad en cuanto a cómo los pacientes valoran los desenlaces principales.
ansiedad.txt,5.1,"En adultos con TAG, ¿cuál es la efectividad y seguridad comparada de la terapia cognitivo conductual (TCC)?",f) ¿Cuál es la magnitud de los recursos requeridos (costes)?,,Costes moderados,No se identificaron estudios que respondieran a la pregunta.,"En el País Vasco, tanto la psicoterapia de grupo como la individual tiene el coste unitario de 124 € (108). Por tanto, una TCC-i de 8 a 12 sesiones tendría un coste de entre 992 € y 1488 € por paciente, mientras que, el coste de una TCC-g de 8 a 12 sesiones, por ejemplo, para un grupo de 5 pacientes sería entre 200 € y 300 € por paciente. El resto de Comunidades Autónomas (CCAA) no proporciona el coste de psicoterapia individual y grupal. El coste de una TCC-c sería similar al coste de una TCC-i. No se tiene conocimiento del coste de la aplicación móvil en España. El coste de una TCC- t sería parecido al coste de una TCC-i."
ansiedad.txt,5.1,"En adultos con TAG, ¿cuál es la efectividad y seguridad comparada de la terapia cognitivo conductual (TCC)?",g) ¿Cuál es la certeza en torno a la evidencia sobre los recursos,,No hay estudios incluidos.,No se encontró evidencia sobre el uso de recursos durante el tratamiento con TCC.,
ansiedad.txt,5.1,"En adultos con TAG, ¿cuál es la efectividad y seguridad comparada de la terapia cognitivo conductual (TCC)?","h) El coste-efectividad de la intervención, ¿favorece a la",,Probablemente favorece a la intervención.,"TCC-i vs. TCC-g: Se identificó una única evaluación económica en la que se comparaba la TCC-i con la atención habitual (equivalente a no hacer nada) y la TCC-g con la atención habitual (equivalente a no hacer nada) (109). La intervención fue aplicada por personal médico o no médico especializado en TCC. El análisis fue realizado mediante un modelo tipo árbol de decisión. La TCC-i y la TCC-g resultaron ser más coste- efectivas que la atención habitual. Entre ambas opciones, la TCC-i y la TCC-g realizada por personal no médico es la opción más coste-efectiva. TCC-c: Se identificaron dos evaluaciones económicas. El primer estudio evaluó la TCC-c con respecto a la lista de espera (equivalente a no hacer nada) mediante un modelo tipo árbol de decisión (110). La TCC-c era asistida por un médico mediante un software. La TCC-c es coste-efectiva con respecto a no hacer nada. Sin embargo, en el modelo no fueron incluidos los costes del software, ya que era gratuito para fines académicos. El segundo estudio evaluó una aplicación móvil de autoayuda para controlar la ansiedad (111). Mediante un modelo tipo árbol de decisión se determinó que la intervención de TCC móvil es más efectiva y menos costosa que las alternativas comparadas. GUÍAS DE PRÁCTICA CLÍNICA EN EL SNS 50",
ansiedad.txt,5.1,"En adultos con TAG, ¿cuál es la efectividad y seguridad comparada de la terapia cognitivo conductual (TCC)?",i) ¿Cuál sería el impacto en la equidad en salud?,,Probablemente reducido,No se identificaron estudios que respondieran a la pregunta.,"En España, según el estudio cualitativo realizado, la derivación a los servicios de psiquiatría, psicología, trabajo social y otros es muy variable según los casos. Esta inequidad en el acceso no parece basarse en criterios clínicos, sino posiblemente en diferencias territoriales de acceso a los diferentes servicios. Se requiere más investigación sobre estas diferencias. Existen algunos proyectos piloto para implementar la presencia del profesional de psicología clínica en AP (Canarias, Cataluña, Madrid o Asturias). Entre los criterios de derivación a las consultas de psicología clínica de AP, se encuentra el diagnóstico de TAG. Sin embargo, su implantación no es homogénea en todo el SNS. En el caso de la TCC-g, es necesario valorar las preferencias de los pacientes, pues la implementación de la TCC con este formato podría no ser bien aceptada por algunas personas que prefieran un menor contacto social o una mayor intimidad durante el tratamiento. Es probable que la situación de inequidad en el acceso a la TCC debido al lugar de residencia pueda verse amortiguada por la implementación de la terapia por internet TCC-i, aunque esto no obvia las dificultades que tendrían los pacientes con baja alfabetización digital. En este caso, la aplicación de TCC- t podría favorecer a estas personas, pero esta modalidad también podría generar peores expectativas de resultado positivo, dificultando su adopción, por lo que es necesario valorar las preferencias de cada paciente."
ansiedad.txt,5.1,"En adultos con TAG, ¿cuál es la efectividad y seguridad comparada de la terapia cognitivo conductual (TCC)?",j) ¿Es aceptable la opción para los agentes implicados?,,Probablemente sí.,"El porcentaje acumulado de abandonos en TCC-i, en los ECA considerados, fue del 15,9%, no significativamente diferente del obtenido en los grupos de control (13,5%). Con respecto a la TCC-c, no se han identificado estudios que evalúen específicamente la aceptabilidad de la TCC-c para el TAG. Sin embargo, en los ECA considerados, el porcentaje de abandonos en el grupo de TCC-c fue del 14,6%, significativamente superior al de los grupos de control (3,6%, p= 0,002). Dos estudios evaluaron la satisfacción de los pacientes con el tratamiento, obteniendo un 87% y 85% de pacientes muy o mayormente satisfechos, respectivamente (112,113). Se considera que TCC-c puede ser menos aceptable para personas con baja alfabetización digital, aunque por otra parte podría ser especialmente útil para personas con dificultades para desplazarse o que vivan GPC PARA EL TRATAMIENTO DEL TRASTORNO DE ANSIEDAD GENERALIZADA EN ATENCIÓN PRIMARIA 51 en áreas alejadas, por tanto, con dificultad de acceso a la modalidad de TCC presencial, o que prefieran un menor contacto personal. En relación a la TCC-t, tampoco se han identificado estudios donde se evalúe concretamente la aceptabilidad de la TCC-t. Sin embargo, en los ECA considerados, el porcentaje acumulado de abandonos fue del 22% en el grupo de TCC-t, frente al 13,9% en los grupos de control, diferencia no significativa. Ambos estudios evaluaron la satisfacción del paciente con el cuestionario Client Satisfaction Questionnaire (CSQ), obteniendo una alta satisfacción (27 y 28 puntos, respectivamente, en una escala de 8-32 (114,115).","Según el estudio cualitativo realizado por el GAG, la psicoterapia cuenta con mayor grado de aceptabilidad que los fármacos. Las siguientes características la hacen más aceptable: − La accesibilidad de los profesionales en periodos de crisis de ansiedad (aumentando el número de sesiones o acceso telefónico en momentos agudos). − El recibir sesiones periódicas semanales durante una primera etapa hasta que se consigan manejar los síntomas más importantes. − La dotación de información y herramientas adaptadas a las particularidades del TAG y a las experiencias personales concretas. − La existencia de un seguimiento a largo plazo: oportunidad de retomar la relación terapéutica ante recaídas o crisis de ansiedad."
ansiedad.txt,5.2,"En adultos con TAG, ¿cuál es la efectividad y seguridad comparada de la terapia de relajación?",k) ¿Es factible la implementación de la opción?,,Variable.,No se identificaron estudios que respondieran a la pregunta.,"El GAG considera que la implementación de TCC en AP requiere de la disponibilidad de profesionales capacitados y con experiencia en esta modalidad de tratamiento, así como tiempo adecuado para su aplicación. La presencia del profesional de psicología clínica en AP, actualmente como proyecto piloto en algunas CCAA, ayudaría a que la recomendación se implementase sin dificultades. Actualmente no existen en España programas de TCC diseñados para su aplicación por internet. Estos programas podrían resultar más fáciles de implementar que el formato presencial (individual o grupal) al adaptarse mejor a la disponibilidad de los pacientes. Existen experiencias que prueban la factibilidad para enfermedades mentales en Aragón, Galicia y País Vasco: https://mastermind-project.eu/. GUÍAS DE PRÁCTICA CLÍNICA EN EL SNS 52 En esta pregunta clínica se analiza la evidencia científica y se aportan recomendaciones sobre el uso de la terapia de relajación en pacientes con TAG. Los programas de relajación aplicada se centran en distintas técnica de relajación en situaciones en las que la persona está o puede estar ansiosa, permitiendo actuar de forma “precoz” en respuesta a la ansiedad y la preocupación. Normalmente, en la primera sesión, el profesional explica en qué consiste la técnica y se realiza un análisis de las situaciones que provocan ansiedad, así como de las reacciones fisiológicas asociadas a las mismas. Posteriormente, se puede emplear la relajación muscular progresiva con el objetivo de aprender a relajar los grupos musculares por separado, comenzando por la tensión de los músculos y su posterior relajación. Otros programas emplean la relajación sin tensión, donde la persona aprende a relajarse sin necesidad de cambiar entre tensión muscular y relajación, la relajación con indicaciones controladas o condicionadas, donde la persona asocia las sensaciones de relajación a una palabra (como por ejemplo, calma, control, paz, relajación, etc.) y la relajación diferenciada o selectiva, en la que se relajan solo aquellos músculos que no están implicados en los movimientos cotidianos. Hacia el final del tratamiento se pretende que la persona ponga en práctica la relajación rápida y la relajación en su entorno habitual (116). Recomendaciones 1. En pacientes con TAG leve o moderado cuyos síntomas no hayan mejorado después de la intervención educativa que incluya formas de automanejo de la ansiedad y consejos sobre estilos de vida saludable, se sugiere ofrecer terapia de relajación como alternativa a la terapia cognitiva conductual. [Débil a favor] Justificación Se ha formulado una recomendación débil a favor del uso de la terapia de relajación como alternativa a la TCC en pacientes con TAG leve o moderado, cuyos síntomas no hayan mejorado después de la intervención educativa. El grupo de trabajo ha considerado la magnitud de los efectos beneficiosos esperados y el balance beneficio-riesgo. GPC PARA EL TRATAMIENTO DEL TRASTORNO DE ANSIEDAD GENERALIZADA EN ATENCIÓN PRIMARIA 53 Justificación detallada Magnitud de los efectos esperados: la evidencia señala que la terapia de relajación reduce de manera significativa los niveles de ansiedad, los niveles de depresión y los niveles de preocupación y aumenta la probabilidad de remisión. Balance beneficio-riesgo: la evidencia científica señala beneficios claros de la terapia de relajación en el tratamiento del TAG, contribuyendo al bienestar general del paciente, y la posibilidad de aparición de eventos adversos asociados a esta terapia se considera insignificante, por lo tanto, el GAG ha considerado que el balance beneficio-riesgo es globalmente favorable a esta terapia. Es importante tener en cuenta que los resultados pueden variar entre individuos y que la terapia de relajación puede no ser adecuada para todas las personas o situaciones. En circunstancias específicas, puede ser necesario un enfoque terapéutico que aborde los síntomas o las preocupaciones de manera más directa. Ante determinadas condiciones médicas, como la hipotensión, puede ser necesario considerar otras opciones terapéuticas. En estos casos, es fundamental evaluar cuidadosamente la idoneidad de la terapia de relajación y explorar alternativas que se adapten mejor a las necesidades y circunstancias específicas del paciente; para ello, se debe considerar la voluntad y capacidad de la persona para participar, preferencias, experiencias pasadas y contraindicaciones antes de seleccionar una estrategia de relajación determinada y determinar si alguna intervención de relajación ha resultado útil en el pasado. De la evidencia a la recomendación"
ansiedad.txt,5.2,"En adultos con TAG, ¿cuál es la efectividad y seguridad comparada de la terapia de relajación?",a) ¿Cuál es la magnitud de los efectos deseables esperados?,,Moderado.,"Se consideraron un total de cinco ECA (n= 191) (17,92,93,100,117) que comparan la aplicación de terapia de relajación con no intervención o lista de espera. Los resultados muestran que el tratamiento con relajación frente a cualquier control en adultos con TAG: − Reduce los niveles de ansiedad (efecto grande). − Aumenta la probabilidad de remisión (288 pacientes más por cada 1.000). − Reduce los niveles de preocupación (efecto moderado). − Reduce los niveles de depresión (efecto pequeño), sin embargo, no supera el umbral de decisión clínica. Para más información se pueden consultar los perfiles de evidencia GRADE disponibles en el material metodológico. GUÍAS DE PRÁCTICA CLÍNICA EN EL SNS 54",
